Date,JYSOC_Open,JYSOC_High,JYSOC_Low,JYSOC_Close,JYSOC_SMAVG (50)  on Close,JYSOC_SMAVG (100)  on Close,JYSOC_SMAVG (200)  on Close,JYSO2_Open,JYSO2_High,JYSO2_Low,JYSO2_Close,JYSO2_SMAVG (50)  on Close,JYSO2_SMAVG (100)  on Close,JYSO2_SMAVG (200)  on Close,JYSO5_Open,JYSO5_High,JYSO5_Low,JYSO5_Close,JYSO5_SMAVG (50)  on Close,JYSO5_SMAVG (100)  on Close,JYSO5_SMAVG (200)  on Close,JYSO10_Open,JYSO10_High,JYSO10_Low,JYSO10_Close,JYSO10_SMAVG (50)  on Close,JYSO10_SMAVG (100)  on Close,JYSO10_SMAVG (200)  on Close,JYSO30_Open,JYSO30_High,JYSO30_Low,JYSO30_Close,JYSO30_SMAVG (50)  on Close,JYSO30_SMAVG (100)  on Close,JYSO30_SMAVG (200)  on Close
2024-05-07,0.1025,0.10375,0.10124,0.10125,0.076494,0.041702,0.004402,0.36,0.360903,0.3475,0.3565,0.315612,0.265723,0.232919,0.5925,0.593403,0.561875,0.57625,0.54803,0.512238,0.511826,0.96875,0.970514,0.925,0.931,0.91041,0.886558,0.904004,1.691,1.691911,1.643749,1.65375,1.570124,1.527403,1.522847
2024-05-08,0.10125,0.1045,0.101241,0.104,0.077817,0.042617,0.005157,0.34875,0.371254,0.343701,0.363755,0.317748,0.267348,0.234238,0.5675,0.6135,0.55875,0.61125,0.550305,0.513926,0.513132,0.93625,0.9775,0.926076,0.9725,0.912635,0.88832,0.905079,1.65875,1.68875,1.653745,1.661,1.573669,1.53045,1.524627
2024-05-09,0.104,0.115,0.102494,0.11375,0.079289,0.04363,0.005957,0.35875,0.391252,0.3575,0.39,0.320323,0.269335,0.235585,0.586875,0.630005,0.586875,0.6225,0.55253,0.515826,0.514338,0.961875,0.996256,0.961875,0.9885,0.914955,0.89043,0.906097,1.680625,1.71375,1.6675,1.6725,1.577194,1.533788,1.526352
2024-05-10,0.11375,0.115024,0.112498,0.113995,0.08078,0.044659,0.006772,0.37625,0.378903,0.371998,0.37875,0.322848,0.271023,0.236791,0.60875,0.6275,0.599997,0.625,0.554955,0.517551,0.515463,0.98625,0.9935,0.976244,0.9885,0.9173,0.89224,0.907026,1.7,1.710035,1.67125,1.67875,1.580944,1.536822,1.527946
2024-05-13,0.113125,0.116254,0.112472,0.115,0.082233,0.045645,0.007594,0.375,0.402628,0.375,0.4025,0.325823,0.272873,0.238166,0.60125,0.647501,0.60125,0.645,0.55798,0.519338,0.516744,0.98,1.017532,0.98,1.015,0.92035,0.89409,0.908145,1.69875,1.733756,1.6945,1.70375,1.585069,1.539784,1.529689
2024-05-14,0.115,0.115633,0.111955,0.112565,0.083624,0.046581,0.008407,0.392,0.403793,0.392,0.398755,0.328873,0.27476,0.239578,0.62875,0.657555,0.628125,0.6425,0.56133,0.521193,0.518051,1.01125,1.03875,1.01,1.025,0.9241,0.896028,0.90932,1.7275,1.75125,1.706,1.7375,1.590269,1.543059,1.531558
2024-05-15,0.112565,0.114997,0.10875,0.111505,0.084874,0.047521,0.009227,0.39875,0.409,0.39625,0.398755,0.331773,0.276698,0.241028,0.63875,0.641349,0.622497,0.625,0.56427,0.522803,0.519338,1.0225,1.025,0.99625,1.0,0.927375,0.89754,0.910508,1.735,1.7425,1.68875,1.695,1.594794,1.545647,1.533533
2024-05-16,0.111505,0.111505,0.104999,0.106,0.085919,0.048468,0.010032,0.39875,0.398762,0.383749,0.391205,0.334272,0.278822,0.242478,0.6325,0.635,0.606201,0.6325,0.566845,0.524766,0.520707,1.0075,1.008769,0.969984,0.985,0.929575,0.899178,0.911676,1.7225,1.722529,1.67125,1.6775,1.598469,1.548272,1.535539
2024-05-17,0.106,0.108846,0.104975,0.108165,0.087058,0.04946,0.010835,0.3875,0.405011,0.3875,0.4025,0.336857,0.280997,0.243941,0.61,0.641254,0.609988,0.6375,0.569395,0.526778,0.522032,0.98,1.010003,0.979988,1.0075,0.932225,0.90104,0.912858,1.69875,1.735,1.698725,1.73125,1.602869,1.551197,1.537671
2024-05-20,0.1075,0.110092,0.1075,0.11,0.088137,0.050425,0.011648,0.4025,0.415006,0.40125,0.41375,0.339832,0.28321,0.245469,0.63625,0.65502,0.634338,0.6525,0.572345,0.528703,0.523457,1.00625,1.02875,1.005131,1.02375,0.934875,0.902765,0.91417,1.72625,1.75125,1.72625,1.74625,1.607094,1.553934,1.539896
