Date,SHIF1Y_Open,SHIF1Y_High,SHIF1Y_Low,SHIF1Y_Close,SHIF1Y_SMAVG (50)  on Close,SHIF1Y_SMAVG (100)  on Close,SHIF1Y_SMAVG (200)  on Close,SHIF3M_Open,SHIF3M_High,SHIF3M_Low,SHIF3M_Close,SHIF3M_SMAVG (50)  on Close,SHIF3M_SMAVG (100)  on Close,SHIF3M_SMAVG (200)  on Close
2015-07-29,3.3923,3.3923,3.3923,3.3923,3.4429,4.0539,4.4246,3.1635,3.1635,3.1635,3.1635,3.0687,3.7623,4.2152
2015-07-30,3.3924,3.3924,3.3924,3.3924,3.4302,4.0401,4.4167,3.1605,3.1605,3.1605,3.1605,3.0705,3.7449,4.2083
2015-07-31,3.3924,3.3924,3.3924,3.3924,3.4191,4.0262,4.4087,3.1575,3.1575,3.1575,3.1575,3.0734,3.7275,4.2014
2015-08-03,3.3924,3.3924,3.3924,3.3924,3.4097,4.0123,4.4008,3.153,3.153,3.153,3.153,3.0773,3.71,4.1946
2015-08-04,3.3924,3.3924,3.3924,3.3924,3.4037,3.9984,4.3929,3.15,3.15,3.15,3.15,3.0822,3.6925,4.1878
2015-08-05,3.3934,3.3934,3.3934,3.3934,3.4001,3.9846,4.3851,3.143,3.143,3.143,3.143,3.0875,3.6749,4.181
2015-08-06,3.3935,3.3935,3.3935,3.3935,3.3977,3.9707,4.3772,3.137,3.137,3.137,3.137,3.0928,3.6572,4.1742
2015-08-07,3.3935,3.3935,3.3935,3.3935,3.3963,3.9568,4.3694,3.127,3.127,3.127,3.127,3.0981,3.6395,4.1673
2015-08-10,3.3935,3.3935,3.3935,3.3935,3.3953,3.943,4.3616,3.1223,3.1223,3.1223,3.1223,3.1032,3.6216,4.1605
2015-08-11,3.3935,3.3935,3.3935,3.3935,3.3946,3.9291,4.3537,3.118,3.118,3.118,3.118,3.1085,3.6038,4.1538
2015-08-12,3.3925,3.3925,3.3925,3.3925,3.3941,3.9152,4.346,3.1125,3.1125,3.1125,3.1125,3.1135,3.5859,4.147
2015-08-13,3.3925,3.3925,3.3925,3.3925,3.3938,3.9013,4.3382,3.101,3.101,3.101,3.101,3.1181,3.5679,4.1403
2015-08-14,3.3925,3.3925,3.3925,3.3925,3.3936,3.8875,4.3304,3.097,3.097,3.097,3.097,3.1224,3.5499,4.1335
2015-08-17,3.3925,3.3925,3.3925,3.3925,3.3934,3.8736,4.3226,3.091,3.091,3.091,3.091,3.1265,3.5318,4.1267
2015-08-18,3.3945,3.3945,3.3945,3.3945,3.3933,3.8597,4.3148,3.093,3.093,3.093,3.093,3.1306,3.5138,4.1199
2015-08-19,3.3947,3.3947,3.3947,3.3947,3.3932,3.8459,4.307,3.094,3.094,3.094,3.094,3.1344,3.4957,4.1132
2015-08-20,3.3957,3.3957,3.3957,3.3957,3.3931,3.832,4.2993,3.093,3.093,3.093,3.093,3.1383,3.4777,4.1065
2015-08-21,3.3987,3.3987,3.3987,3.3987,3.3931,3.8182,4.2915,3.09,3.09,3.09,3.09,3.1419,3.4596,4.0998
2015-08-24,3.4,3.4,3.4,3.4,3.3931,3.8044,4.2838,3.09,3.09,3.09,3.09,3.1453,3.4415,4.0933
