Date,GACGB3M_Close,GACGB2_Close,GACGB5_Close,GACGB10_Close,GACGB30_Close
6/6/2000,,5.935,6.1,6.127,
6/7/2000,,5.93,6.108,6.133,
6/8/2000,,5.975,6.158,6.197,
6/9/2000,,5.905,6.073,6.099,
6/13/2000,,5.84,6.01,6.057,
6/14/2000,,5.913,6.095,6.174,
6/15/2000,,5.945,6.108,6.174,
6/16/2000,,5.93,6.095,6.173,
6/19/2000,,5.89,6.05,6.123,
6/20/2000,,5.94,6.118,6.203,
6/21/2000,,5.995,6.18,6.268,
6/22/2000,,6.015,6.208,6.308,
6/23/2000,,5.975,6.16,6.258,
6/26/2000,,5.98,6.173,6.293,
6/27/2000,,5.945,6.14,6.253,
6/28/2000,,5.965,6.155,6.263,
6/29/2000,,5.928,6.113,6.243,
6/30/2000,,5.868,6.065,6.183,
7/3/2000,,5.905,6.088,6.196,
7/4/2000,,5.83,6.005,6.113,
7/5/2000,,5.82,5.995,6.102,
7/6/2000,,5.843,6.025,6.146,
7/7/2000,,5.88,6.05,6.197,
7/10/2000,,5.795,5.965,6.088,
7/11/2000,,5.86,6.03,6.143,
7/12/2000,,5.863,6.038,6.148,
7/13/2000,,5.925,6.1,6.208,
7/14/2000,,5.868,6.043,6.132,
7/17/2000,,5.945,6.115,6.208,
7/18/2000,,5.95,6.13,6.243,
7/19/2000,,5.975,6.16,6.278,
7/20/2000,,5.99,6.168,6.283,
7/21/2000,,5.883,6.045,6.139,
7/24/2000,,5.86,6.005,6.102,
7/25/2000,,5.915,6.06,6.152,
7/26/2000,,5.943,6.085,6.164,
7/27/2000,,6.04,6.145,6.183,
7/28/2000,,6.102,6.213,6.213,
7/31/2000,,6.155,6.265,6.259,
8/1/2000,,6.163,6.258,6.279,
8/2/2000,,6.28,6.29,6.26,
8/3/2000,,6.255,6.26,6.213,
8/4/2000,,6.235,6.255,6.21,
8/8/2000,,6.205,6.213,6.158,
8/9/2000,,6.188,6.173,6.133,
8/10/2000,,6.275,6.233,6.182,
8/11/2000,,6.295,6.243,6.17,
8/14/2000,,6.355,6.305,6.25,
8/15/2000,,6.355,6.305,6.26,
8/16/2000,,6.37,6.323,6.253,
8/17/2000,,6.435,6.373,6.295,
8/18/2000,,6.45,6.37,6.285,
8/21/2000,,6.41,6.32,6.235,
8/22/2000,,6.39,6.305,6.235,
8/23/2000,,6.45,6.345,6.255,
8/24/2000,,6.41,6.31,6.2,
8/25/2000,,6.42,6.325,6.225,
8/28/2000,,6.4,6.31,6.21,
8/29/2000,,6.415,6.32,6.258,
8/30/2000,,6.465,6.388,6.31,
8/31/2000,,6.435,6.335,6.28,
9/1/2000,,6.29,6.183,6.11,
9/4/2000,,6.178,6.185,5.965,
9/5/2000,,6.233,6.105,6,
9/6/2000,,6.268,6.14,6.023,
9/7/2000,,6.33,6.205,6.075,
9/8/2000,,6.333,6.218,6.09,
9/11/2000,,6.3,6.185,6.07,
9/12/2000,,6.315,6.205,6.085,
9/13/2000,,6.29,6.168,6.05,
9/14/2000,,6.295,6.163,6.048,
9/15/2000,,6.275,6.145,6.05,
9/18/2000,,6.295,6.22,6.055,
9/19/2000,,6.315,6.26,6.26,
9/20/2000,,6.32,6.263,6.235,
9/21/2000,,6.36,6.305,6.27,
9/22/2000,,6.248,6.193,6.188,
9/25/2000,,6.265,6.22,6.245,
9/26/2000,,6.265,6.215,6.24,
9/27/2000,,6.28,6.223,6.24,
9/28/2000,,6.243,6.213,6.2,
9/29/2000,,6.255,6.215,6.225,
10/3/2000,,6.185,6.142,6.15,
10/4/2000,,6.17,6.155,6.185,
10/5/2000,,6.14,6.15,6.223,
10/6/2000,,6.148,6.155,6.207,
10/9/2000,,6.025,6.025,6.085,
10/10/2000,,6.09,6.09,6.155,
10/11/2000,,6.075,6.095,6.16,
10/12/2000,,6.07,6.053,6.145,
10/13/2000,,6,6.01,6.08,
10/16/2000,,6.053,6.075,6.165,
10/17/2000,,6.065,6.09,6.168,
10/18/2000,,6.075,6.088,6.145,
10/19/2000,,6.04,6.07,6.14,
10/20/2000,,5.995,6.025,6.1,
10/23/2000,,5.968,5.993,6.108,
10/24/2000,,5.94,5.958,5.995,
10/25/2000,,5.935,5.95,6,
10/26/2000,,6.015,6.035,6.11,
10/27/2000,,6.038,6.058,6.138,
10/30/2000,,6.1,6.125,6.203,
10/31/2000,,6.095,6.12,6.213,
11/1/2000,,6.015,6.04,6.163,
11/2/2000,,6.045,6.075,6.173,
11/3/2000,,6.029,6.061,6.162,
11/6/2000,,6.08,6.11,6.22,
11/7/2000,,6.055,6.08,6.203,
11/8/2000,,6,6.045,6.165,
11/9/2000,,5.95,5.995,6.123,
11/10/2000,,5.948,5.995,6.117,
11/13/2000,,5.9,5.93,6.015,
11/14/2000,,5.9,5.925,5.998,
11/15/2000,,5.895,5.925,6.003,
11/16/2000,,5.915,5.94,6,
11/17/2000,,5.84,5.86,5.895,
11/20/2000,,5.875,5.89,5.915,
11/21/2000,,5.878,5.895,5.92,
11/22/2000,,5.823,5.835,5.865,
11/23/2000,,5.85,5.863,5.888,
11/24/2000,,5.87,5.885,5.91,
11/27/2000,,5.855,5.875,5.933,
11/28/2000,,5.805,5.825,5.874,
11/29/2000,,5.735,5.755,5.81,
11/30/2000,,5.685,5.735,5.775,
12/1/2000,,5.72,5.74,5.813,
12/4/2000,,5.665,5.673,5.785,
12/5/2000,,5.51,5.528,5.66,
12/6/2000,,5.498,5.5,5.643,
12/7/2000,,5.455,5.46,5.575,
12/8/2000,,5.425,5.44,5.575,
12/11/2000,,5.48,5.503,5.645,
12/12/2000,,5.463,5.485,5.617,
12/13/2000,,5.413,5.44,5.53,
12/14/2000,,5.31,5.335,5.465,
12/15/2000,,5.35,5.37,5.475,
12/18/2000,,5.315,5.345,5.475,
12/19/2000,,5.37,5.41,5.538,
12/20/2000,,5.268,5.3,5.433,
12/21/2000,,5.265,5.313,5.446,
12/22/2000,,5.26,5.31,5.42,
12/27/2000,,5.263,5.318,5.443,
12/28/2000,,5.325,5.385,5.51,
12/29/2000,,5.281,5.337,5.48,
1/2/2001,,5.09,5.16,5.34,
1/3/2001,,5.115,5.21,5.495,
1/4/2001,,5.06,5.19,5.49,
1/5/2001,,4.875,5.025,5.34,
1/8/2001,,4.975,5.108,5.42,
1/9/2001,,5.03,5.15,5.45,
1/10/2001,,5.04,5.145,5.44,
1/11/2001,,5,5.11,5.43,
1/12/2001,,4.97,5.085,5.42,
1/15/2001,,5.06,5.175,5.505,
1/16/2001,,5.07,5.19,5.505,
1/17/2001,,5.073,5.178,5.475,
1/18/2001,,4.965,5.065,5.385,
1/19/2001,,4.995,5.11,5.45,
1/22/2001,,5.035,5.16,5.525,
1/23/2001,,5.005,5.145,5.495,
1/24/2001,,4.93,5.105,5.465,
1/25/2001,,4.935,5.07,5.41,
1/29/2001,,4.9,5.038,5.43,
1/30/2001,,4.885,5.03,5.379,
1/31/2001,,4.755,4.91,5.287,
2/1/2001,,4.798,4.95,5.298,
2/2/2001,,4.885,5.03,5.365,
2/5/2001,,4.875,5.02,5.35,
2/6/2001,,4.893,5.03,5.352,
2/7/2001,,4.905,5.035,5.353,
2/8/2001,,4.98,5.095,5.39,
2/9/2001,,4.98,5.095,5.39,
2/12/2001,,4.865,4.977,5.285,
2/13/2001,,4.855,4.97,5.295,
2/14/2001,,5.03,5.13,5.385,
2/15/2001,,5.14,5.238,5.522,
2/16/2001,,5.06,5.155,5.465,
2/19/2001,,4.955,5.05,5.41,
2/20/2001,,4.94,5.04,5.4,
2/21/2001,,4.92,5.02,5.394,
2/22/2001,,4.92,5.025,5.4,
2/23/2001,,4.81,4.92,5.355,
2/26/2001,,4.785,4.893,5.32,
2/27/2001,,4.795,4.9,5.268,
2/28/2001,,4.805,4.91,5.249,
3/1/2001,,4.84,4.94,5.28,
3/2/2001,,4.82,4.925,5.28,
3/5/2001,,4.75,4.865,5.27,
3/6/2001,,4.735,4.85,5.27,
3/7/2001,,4.64,4.765,5.185,
3/8/2001,,4.655,4.8,5.17,
3/9/2001,,4.585,4.775,5.1,
3/12/2001,,4.573,4.76,5.065,
3/13/2001,,4.595,4.785,5.071,
3/14/2001,,4.508,4.705,5.01,
3/15/2001,,4.455,4.665,5,
3/16/2001,,4.435,4.635,4.995,
3/19/2001,,4.43,4.633,4.975,
3/20/2001,,4.37,4.588,4.972,
3/21/2001,,4.395,4.605,4.983,
3/22/2001,,4.48,4.695,5.065,
3/23/2001,,4.635,4.835,5.175,
3/26/2001,,4.69,4.89,5.248,
3/27/2001,,4.863,5.048,5.338,
3/28/2001,,4.81,4.995,5.32,
3/29/2001,,4.795,4.985,5.31,
3/30/2001,,4.73,4.915,5.293,
4/2/2001,,4.675,4.88,5.273,
4/3/2001,,4.77,4.965,5.345,
4/4/2001,,4.64,4.855,5.243,
4/5/2001,,4.76,4.98,5.363,
4/6/2001,,4.84,5.07,5.477,
4/9/2001,,4.745,5.005,5.438,
4/10/2001,,4.805,5.07,5.493,
4/11/2001,,4.93,5.195,5.57,
4/12/2001,,5.005,5.285,5.628,
4/17/2001,,4.98,5.245,5.658,
4/18/2001,,5.035,5.305,5.702,
4/19/2001,,4.825,5.17,5.67,
4/20/2001,,4.95,5.33,5.838,
4/23/2001,,4.94,5.325,5.852,
4/24/2001,,4.945,5.31,5.802,
4/26/2001,,5.02,5.37,5.837,
4/27/2001,,4.925,5.26,5.705,
4/30/2001,,5.015,5.34,5.797,
5/1/2001,,5.045,5.37,5.833,
5/2/2001,,5.035,5.37,5.843,
5/3/2001,,4.98,5.315,5.795,
5/4/2001,,4.955,5.3,5.79,
5/7/2001,,4.905,5.27,5.793,
5/8/2001,,4.845,5.215,5.738,
5/9/2001,,4.84,5.215,5.745,
5/10/2001,,4.81,5.165,5.677,
5/11/2001,,4.975,5.315,5.795,
5/14/2001,,5.16,5.51,5.968,
5/15/2001,,5.185,5.57,6.018,
5/16/2001,,5.18,5.59,6.117,
5/17/2001,,5.215,5.62,6.113,
5/18/2001,,5.235,5.625,6.07,
5/21/2001,,5.315,5.71,6.123,
5/22/2001,,5.265,5.66,6.083,
5/23/2001,,5.26,5.66,6.078,
5/24/2001,,5.23,5.625,6.055,
5/25/2001,,5.25,5.665,6.105,
5/28/2001,,5.24,5.66,6.105,
5/29/2001,,5.26,5.68,6.093,
5/30/2001,,5.29,5.705,6.103,
5/31/2001,,5.24,5.64,6.038,
6/1/2001,,5.21,5.605,5.977,
6/4/2001,,5.14,5.53,5.893,
6/5/2001,,5.17,5.56,5.947,
6/6/2001,,5.38,5.725,6.022,
6/7/2001,,5.385,5.715,5.97,
6/8/2001,,5.405,5.76,6.043,
6/12/2001,,5.37,5.72,5.997,
6/13/2001,,5.28,5.615,5.89,
6/14/2001,,5.21,5.55,5.828,
6/15/2001,,5.145,5.485,5.815,
6/18/2001,,5.125,5.475,5.843,
6/19/2001,,5.145,5.515,5.883,
6/20/2001,,5.15,5.505,5.843,
6/21/2001,,5.145,5.51,5.878,
6/22/2001,,5.135,5.495,5.85,
6/25/2001,,5.05,5.415,5.788,
6/26/2001,,5.07,5.425,5.805,
6/27/2001,,5.21,5.58,5.938,
6/28/2001,,5.31,5.67,5.978,
6/29/2001,,5.38,5.77,6.06,
7/2/2001,,5.41,5.82,6.118,
7/3/2001,,5.49,5.885,6.135,
7/4/2001,,5.53,5.935,6.218,
7/5/2001,,5.49,5.875,6.185,
7/6/2001,,5.51,5.89,6.21,
7/9/2001,,5.47,5.865,6.188,
7/10/2001,,5.49,5.88,6.168,
7/11/2001,,5.415,5.805,6.098,
7/12/2001,,5.53,5.928,6.193,
7/13/2001,,5.53,5.92,6.178,
7/16/2001,,5.5,5.875,6.118,
7/17/2001,,5.48,5.85,6.08,
7/18/2001,,5.45,5.82,6.048,
7/19/2001,,5.35,5.705,5.973,
7/20/2001,,5.315,5.665,5.915,
7/23/2001,,5.35,5.705,5.973,
7/24/2001,,5.375,5.725,5.988,
7/25/2001,,5.5,5.855,6.057,
7/26/2001,,5.523,5.92,6.14,
7/27/2001,,5.505,5.865,6.115,
7/30/2001,,5.475,5.83,6.09,
7/31/2001,,5.47,5.84,6.093,
8/1/2001,,5.4,5.765,6.023,
8/2/2001,,5.39,5.765,6.018,
8/3/2001,,5.42,5.785,6.048,
8/7/2001,,5.345,5.715,6.01,
8/8/2001,,5.365,5.735,6.025,
8/9/2001,,5.055,5.41,5.71,
8/10/2001,,5.06,5.41,5.72,
8/13/2001,,5.1,5.45,5.728,
8/14/2001,,5.1,5.46,5.75,
8/15/2001,,5.15,5.52,5.793,
8/16/2001,,5.165,5.54,5.828,
8/17/2001,,5.115,5.48,5.78,
8/20/2001,,5.055,5.425,5.718,
8/21/2001,,5.07,5.45,5.758,
8/22/2001,,5.008,5.39,5.7,
8/23/2001,,5.06,5.43,5.735,
8/24/2001,,5.05,5.46,5.682,
8/27/2001,,4.95,5.375,5.653,
8/28/2001,,4.905,5.335,5.613,
8/29/2001,,4.78,5.215,5.51,
8/30/2001,,4.795,5.235,5.528,
8/31/2001,,4.755,5.23,5.553,
9/3/2001,,4.77,5.25,5.565,
9/4/2001,,4.84,5.32,5.618,
9/5/2001,,5.04,5.535,5.817,
9/6/2001,,5.08,5.55,5.83,
9/7/2001,,4.98,5.455,5.755,
9/10/2001,,4.755,5.245,5.583,
9/11/2001,,4.78,5.275,5.623,
9/12/2001,,4.39,4.99,5.465,
9/13/2001,,4.44,5.025,5.498,
9/14/2001,,4.388,5,5.505,
9/17/2001,,4.235,4.905,5.447,
9/18/2001,,4.2,4.895,5.475,
9/19/2001,,4.305,5,5.578,
9/20/2001,,4.225,4.955,5.55,
9/21/2001,,4.265,4.985,5.592,
9/24/2001,,4.295,5.02,5.638,
9/25/2001,,4.315,5.035,5.657,
9/26/2001,,4.255,4.995,5.622,
9/27/2001,,4.23,4.95,5.572,
9/28/2001,,4.23,4.945,5.533,
10/1/2001,,4.24,4.95,5.54,
10/2/2001,,4.195,4.885,5.448,
10/3/2001,,4.23,4.9,5.438,
10/4/2001,,4.27,4.925,5.455,
10/5/2001,,4.21,4.88,5.393,
10/8/2001,,4.105,4.78,5.357,
10/9/2001,,4.12,4.79,5.363,
10/10/2001,,4.15,4.835,5.412,
10/11/2001,,4.245,4.89,5.442,
10/12/2001,,4.36,4.985,5.518,
10/15/2001,,4.3,4.92,5.477,
10/16/2001,,4.265,4.9,5.438,
10/17/2001,,4.275,4.875,5.427,
10/18/2001,,4.25,4.855,5.432,
10/19/2001,,4.245,4.865,5.438,
10/22/2001,,4.265,4.895,5.462,
10/23/2001,,4.378,5.01,5.587,
10/24/2001,,4.245,4.89,5.513,
10/25/2001,,4.13,4.775,5.393,
10/26/2001,,4.13,4.76,5.38,
10/29/2001,,4.065,4.705,5.29,
10/30/2001,,3.925,4.565,5.18,
10/31/2001,,3.947,4.585,5.22,
11/1/2001,,4.095,4.64,5.165,
11/2/2001,,4.015,4.64,5.119,
11/5/2001,,3.975,4.62,5.163,
11/6/2001,,3.958,4.593,5.107,
11/7/2001,,3.887,4.518,5.083,
11/8/2001,,3.813,4.445,5.005,
11/9/2001,,3.88,4.585,5.14,
11/12/2001,,4.03,4.683,5.243,
11/13/2001,,4.135,4.775,5.195,
11/14/2001,,4.325,4.965,5.26,
11/15/2001,,4.54,5.18,5.45,
11/16/2001,,4.545,5.2,5.743,
11/19/2001,,4.535,5.22,5.785,
11/20/2001,,4.413,5.108,5.72,
11/21/2001,,4.54,5.24,5.815,
11/22/2001,,4.67,5.385,5.893,
11/23/2001,,4.715,5.44,5.915,
11/26/2001,,4.66,5.36,5.83,
11/27/2001,,4.635,5.375,5.85,
11/28/2001,,4.5,5.215,5.695,
11/29/2001,,4.49,5.205,5.715,
11/30/2001,,4.385,5.095,5.585,
12/3/2001,,4.378,5.073,5.565,
12/4/2001,,4.473,5.16,5.613,
12/5/2001,,4.485,5.16,5.815,
12/6/2001,,4.688,5.4,5.783,
12/7/2001,,4.655,5.38,5.868,
12/10/2001,,4.585,5.36,5.835,
12/11/2001,,4.545,5.318,5.82,
12/12/2001,,4.543,5.345,5.865,
12/13/2001,,4.445,5.29,5.818,
12/14/2001,,4.48,5.315,5.845,
12/17/2001,,4.535,5.38,5.935,
12/18/2001,,4.528,5.38,5.898,
12/19/2001,,4.47,5.308,5.807,
12/20/2001,,4.475,5.305,5.83,
12/21/2001,,4.505,5.335,5.915,
12/24/2001,,4.47,5.34,5.905,
12/27/2001,,4.62,5.508,6.093,
12/28/2001,,4.57,5.48,6.025,
12/31/2001,,4.555,5.47,6.02,
1/2/2002,,4.6,5.495,6.075,
1/3/2002,,4.575,5.465,6.03,
1/4/2002,,4.605,5.52,6.045,
1/7/2002,,4.565,5.473,6.025,
1/8/2002,,4.475,5.368,5.918,
1/9/2002,,4.45,5.352,5.892,
1/10/2002,,4.448,5.318,5.835,
1/11/2002,,4.29,5.115,5.935,
1/14/2002,,4.295,5.08,5.598,
1/15/2002,,4.369,5.15,5.66,
1/16/2002,,4.39,5.16,5.645,
1/17/2002,,4.45,5.22,5.708,
1/18/2002,,4.48,5.265,5.76,
1/21/2002,,4.555,5.355,5.823,
1/22/2002,,4.574,5.385,5.815,
1/23/2002,,4.755,5.51,5.965,
1/24/2002,,4.71,5.608,5.978,
1/25/2002,,4.77,5.645,5.988,
1/29/2002,,4.805,5.665,6.045,
1/30/2002,,4.73,5.568,5.93,
1/31/2002,,4.84,5.675,6.038,
2/1/2002,,4.75,5.595,5.95,
2/4/2002,,4.79,5.61,5.97,
2/5/2002,,4.73,5.513,5.875,
2/6/2002,,4.69,5.495,5.878,
2/7/2002,,4.673,5.46,5.86,
2/8/2002,,4.698,5.488,5.898,
2/11/2002,,4.788,5.595,5.968,
2/12/2002,,4.855,5.68,6.028,
2/13/2002,,4.823,5.68,6.043,
2/14/2002,,4.96,5.775,6.095,
2/15/2002,,4.83,5.64,5.935,
2/18/2002,,4.91,5.685,5.983,
2/19/2002,,4.86,5.65,5.988,
2/20/2002,,4.873,5.635,5.953,
2/21/2002,,4.885,5.665,5.99,
2/22/2002,,4.82,5.59,5.91,
2/25/2002,,4.845,5.602,5.905,
2/26/2002,,4.85,5.615,5.925,
2/27/2002,,4.91,5.71,6.04,
2/28/2002,,4.85,5.625,5.96,
3/1/2002,,4.855,5.665,6.01,
3/4/2002,,5,5.838,6.178,
3/5/2002,,5.005,5.815,6.16,
3/6/2002,,4.875,5.69,6.01,
3/7/2002,,5.015,5.875,6.27,
3/8/2002,,5.123,6.012,6.385,
3/11/2002,,5.133,5.998,6.378,
3/12/2002,,5.12,5.973,6.36,
3/13/2002,,5.695,6.02,6.388,
3/14/2002,,5.133,5.97,6.465,
3/15/2002,,5.313,6.1,6.443,
3/18/2002,,5.29,6.05,6.375,
3/19/2002,,5.315,6.075,6.385,
3/20/2002,,5.305,6.035,6.35,
3/21/2002,,5.358,6.103,6.43,
3/22/2002,,5.345,6.068,6.385,
3/25/2002,,5.368,6.08,6.405,
3/26/2002,,5.405,6.105,6.425,
3/27/2002,,5.34,6.03,6.338,
3/28/2002,,5.325,6.02,6.335,
4/2/2002,,5.465,6.195,6.498,
4/3/2002,,5.38,6.085,6.388,
4/4/2002,,5.285,5.948,6.31,
4/5/2002,,5.255,5.945,6.33,
4/8/2002,,5.227,5.895,6.29,
4/9/2002,,5.273,5.98,6.36,
4/10/2002,,5.205,5.885,6.295,
4/11/2002,,5.308,6,6.385,
4/12/2002,,5.695,5.975,6.34,
4/15/2002,,5.65,5.93,6.305,
4/16/2002,,5.625,5.915,6.31,
4/17/2002,,5.68,5.965,6.343,
4/18/2002,,5.62,5.91,6.35,
4/19/2002,,5.65,5.94,6.345,
4/22/2002,,5.633,5.92,6.31,
4/23/2002,,5.638,5.925,6.305,
4/24/2002,,5.685,5.98,6.348,
4/26/2002,,5.55,5.84,6.21,
4/29/2002,,5.418,5.71,6.08,
4/30/2002,,5.42,5.715,6.095,
5/1/2002,,5.405,5.705,6.115,
5/2/2002,,5.4,5.695,6.07,
5/3/2002,,5.475,5.77,6.135,
5/6/2002,,5.468,5.76,6.115,
5/7/2002,,5.405,5.7,6.053,
5/8/2002,,5.519,5.815,6.13,
5/9/2002,,5.668,5.963,6.275,
5/10/2002,,5.675,5.97,6.285,
5/13/2002,,5.62,5.915,6.23,
5/14/2002,,5.66,5.955,6.273,
5/15/2002,,5.765,6.055,6.363,
5/16/2002,,5.775,6.07,6.345,
5/17/2002,,5.755,6.05,6.318,
5/20/2002,,5.81,6.105,6.355,
5/21/2002,,5.745,6.04,6.295,
5/22/2002,,5.693,5.99,6.24,
5/23/2002,,5.653,5.943,6.203,
5/24/2002,,5.685,5.965,6.233,
5/27/2002,,5.733,6.005,6.28,
5/28/2002,,5.785,6.05,6.32,
5/29/2002,,5.73,5.99,6.255,
5/30/2002,,5.72,5.965,6.293,
5/31/2002,,5.823,6.025,6.278,
6/3/2002,,5.98,6.16,6.36,
6/4/2002,,5.925,6.105,6.288,
6/5/2002,,5.913,6.085,6.305,
6/6/2002,,5.885,6.065,6.268,
6/7/2002,,5.745,5.94,6.165,
6/11/2002,,5.74,5.94,6.19,
6/12/2002,,5.654,5.843,6.12,
6/13/2002,,5.665,5.855,6.123,
6/14/2002,,5.52,5.705,5.998,
6/17/2002,,5.48,5.67,5.97,
6/18/2002,,5.513,5.715,6.04,
6/19/2002,,5.443,5.638,5.945,
6/20/2002,,5.43,5.625,5.96,
6/21/2002,,5.475,5.675,5.99,
6/24/2002,,5.538,5.735,6.028,
6/25/2002,,5.535,5.74,6.03,
6/26/2002,,5.32,5.53,5.895,
6/27/2002,,5.438,5.668,6.005,
6/28/2002,,5.503,5.745,6.075,
7/1/2002,,5.53,5.775,6.1,
7/2/2002,,5.485,5.73,6.07,
7/3/2002,,5.38,5.63,6.045,
7/4/2002,,5.428,5.69,6.085,
7/5/2002,,5.495,5.775,6.11,
7/8/2002,,5.54,5.835,6.137,
7/9/2002,,5.51,5.805,6.085,
7/10/2002,,5.395,5.68,5.975,
7/11/2002,,5.285,5.57,5.88,
7/12/2002,,5.32,5.62,5.965,
7/15/2002,,5.21,5.515,5.905,
7/16/2002,,5.273,5.583,5.977,
7/17/2002,,5.285,5.59,5.97,
7/18/2002,,5.275,5.58,5.97,
7/19/2002,,5.213,5.515,5.9,
7/22/2002,,5.123,5.42,5.86,
7/23/2002,,5.16,5.46,5.875,
7/24/2002,,5.045,5.355,5.79,
7/25/2002,,5.115,5.42,5.835,
7/26/2002,,5.025,5.33,5.775,
7/29/2002,,5.08,5.385,5.82,
7/30/2002,,5.195,5.515,5.958,
7/31/2002,,5.222,5.543,5.96,
8/1/2002,,5.17,5.475,5.895,
8/2/2002,,5.065,5.355,5.773,
8/6/2002,,4.883,5.17,5.635,
8/7/2002,,4.98,5.275,5.725,
8/8/2002,,4.88,5.185,5.695,
8/9/2002,,4.97,5.268,5.735,
8/12/2002,,4.978,5.268,5.665,
8/13/2002,,4.974,5.255,5.658,
8/14/2002,,4.868,5.143,5.54,
8/15/2002,,4.99,5.265,5.625,
8/16/2002,,5.045,5.315,5.69,
8/19/2002,,5.14,5.418,5.8,
8/20/2002,,5.145,5.428,5.827,
8/21/2002,,5.105,5.39,5.755,
8/22/2002,,5.15,5.435,5.8,
