Date,GJTB3MO_Close,GJGB2_Close,GJGB5_Close,GJGB10_Close,GJGB30_Close
4/21/2000,0.05,0.415,1.115,1.75,2.108
4/24/2000,0.045,0.4,1.105,1.743,2.107
4/25/2000,0.04,0.385,1.085,1.726,2.104
4/26/2000,0.035,0.375,1.07,1.743,2.092
4/27/2000,0.045,0.37,1.065,1.74,2.01
4/28/2000,0.045,0.375,1.08,1.764,2.07
5/1/2000,0.044,0.36,1.055,1.741,2.162
5/2/2000,0.046,0.355,1.05,1.735,2.178
5/8/2000,0.043,0.345,1.04,1.739,2.181
5/9/2000,0.039,0.315,0.995,1.716,2.151
5/10/2000,0.038,0.325,1.02,1.728,2.158
5/11/2000,0.035,0.315,0.995,1.686,2.122
5/12/2000,0.037,0.33,1.035,1.704,2.143
5/15/2000,0.035,0.335,1.04,1.709,2.146
5/16/2000,0.037,0.345,1.06,1.749,2.205
5/17/2000,0.04,0.355,1.075,1.772,2.354
5/18/2000,0.037,0.335,1.03,1.73,2.323
5/19/2000,0.037,0.335,1.035,1.726,2.345
5/22/2000,0.035,0.3,1,1.697,2.307
5/23/2000,0.036,0.315,1.01,1.721,2.329
5/24/2000,0.036,0.3,0.985,1.71,2.114
5/25/2000,0.03,0.305,1,1.72,2.254
5/26/2000,0.034,0.305,0.98,1.685,2.218
5/29/2000,0.03,0.305,0.97,1.67,2.2
5/30/2000,0.033,0.335,0.995,1.695,2.194
5/31/2000,0.03,0.4,1.03,1.665,2.165
6/1/2000,0.04,0.41,1.05,1.67,2.164
6/2/2000,0.04,0.44,1.08,1.69,2.18
6/5/2000,0.04,0.48,1.15,1.755,2.253
6/6/2000,0.04,0.48,1.15,1.745,2.286
6/7/2000,0.04,0.48,1.11,1.73,2.257
6/8/2000,0.05,0.48,1.11,1.7,2.239
6/9/2000,0.04,0.45,1.06,1.665,2.204
6/12/2000,0.04,0.46,1.07,1.675,2.207
6/13/2000,0.04,0.45,1.06,1.66,2.179
6/14/2000,0.05,0.46,1.07,1.675,2.19
6/15/2000,0.04,0.43,1.04,1.665,2.17
6/16/2000,0.04,0.41,1.01,1.63,2.144
6/19/2000,0.04,0.4,1,1.63,2.153
6/20/2000,0.05,0.42,1.02,1.65,2.18
6/21/2000,0.07,0.46,1.06,1.68,2.228
6/22/2000,0.07,0.47,1.07,1.727,2.229
6/23/2000,0.1,0.47,1.07,1.699,2.194
6/26/2000,0.11,0.51,1.12,1.719,2.201
6/27/2000,0.1,0.51,1.12,1.74,2.222
6/28/2000,0.1,0.49,1.09,1.734,2.212
6/29/2000,0.17,0.52,1.11,1.755,2.214
6/30/2000,0.17,0.52,1.11,1.761,2.222
7/3/2000,0.17,0.51,1.12,1.77,2.254
7/4/2000,0.19,0.48,1.09,1.753,2.239
7/5/2000,0.2,0.48,1.12,1.77,2.264
7/6/2000,0.17,0.47,1.09,1.742,2.25
7/7/2000,0.17,0.47,1.11,1.761,2.29
7/10/2000,0.15,0.47,1.12,1.77,2.34
7/11/2000,0.2,0.5,1.14,1.776,2.338
7/12/2000,0.26,0.52,1.15,1.785,2.343
7/13/2000,0.21,0.45,1.06,1.712,2.287
7/14/2000,0.21,0.46,1.07,1.712,2.297
7/17/2000,0.18,0.46,1.07,1.703,2.289
7/18/2000,0.14,0.43,1.05,1.694,2.275
7/19/2000,0.14,0.44,1.06,1.71,2.297
7/21/2000,0.15,0.44,1.06,1.712,2.302
7/24/2000,0.15,0.44,1.07,1.722,2.319
7/25/2000,0.15,0.44,1.09,1.766,2.363
7/26/2000,0.17,0.43,1.07,1.753,2.358
7/27/2000,0.15,0.41,1.04,1.716,2.328
7/28/2000,0.14,0.4,1.03,1.689,2.309
7/31/2000,0.12,0.4,1.02,1.683,2.303
8/1/2000,0.125,0.41,1.025,1.687,2.293
8/2/2000,0.12,0.41,1.02,1.683,2.274
8/3/2000,0.13,0.41,1.02,1.686,2.264
8/4/2000,0.12,0.405,1.01,1.683,2.259
8/7/2000,0.105,0.405,1.005,1.693,2.274
8/8/2000,0.105,0.425,1.025,1.699,2.284
8/9/2000,0.144,0.48,1.07,1.725,2.305
8/10/2000,0.25,0.505,1.085,1.744,2.324
8/11/2000,0.243,0.485,1.06,1.72,2.294
8/14/2000,0.254,0.5,1.06,1.725,2.299
8/15/2000,0.25,0.51,1.07,1.755,2.338
8/16/2000,0.3,0.525,1.09,1.769,2.369
8/17/2000,0.313,0.505,1.075,1.76,2.372
8/18/2000,0.3,0.495,1.09,1.78,2.409
8/21/2000,0.305,0.505,1.105,1.794,2.433
8/22/2000,0.305,0.525,1.14,1.81,2.454
8/23/2000,0.31,0.555,1.185,1.848,2.493
8/24/2000,0.315,0.555,1.165,1.832,2.475
8/25/2000,0.325,0.585,1.21,1.873,2.52
8/28/2000,0.32,0.595,1.23,1.883,2.534
8/29/2000,0.325,0.605,1.23,1.898,2.562
8/30/2000,0.325,0.6,1.215,1.882,2.546
8/31/2000,0.325,0.64,1.255,1.887,2.55
9/1/2000,0.32,0.665,1.31,1.957,2.636
9/4/2000,0.32,0.65,1.285,1.935,2.618
9/5/2000,0.324,0.655,1.31,1.962,2.649
9/6/2000,0.326,0.665,1.325,1.976,2.669
9/7/2000,0.325,0.65,1.295,1.941,2.638
9/8/2000,0.32,0.61,1.22,1.858,2.564
9/11/2000,0.32,0.595,1.21,1.842,2.555
9/12/2000,0.323,0.58,1.195,1.847,2.574
9/13/2000,0.325,0.585,1.21,1.866,2.609
9/14/2000,0.335,0.6,1.225,1.889,2.648
9/18/2000,0.335,0.59,1.2,1.866,2.653
9/19/2000,0.335,0.58,1.18,1.854,2.648
9/20/2000,0.335,0.585,1.19,1.871,2.668
9/21/2000,0.342,0.595,1.205,1.912,2.693
9/22/2000,0.345,0.57,1.165,1.869,2.665
9/25/2000,0.34,0.58,1.175,1.878,2.684
9/26/2000,0.34,0.605,1.21,1.906,2.75
9/27/2000,0.333,0.6,1.19,1.889,2.742
9/28/2000,0.32,0.61,1.19,1.882,2.743
9/29/2000,0.32,0.61,1.17,1.847,2.719
10/2/2000,0.315,0.6,1.16,1.842,2.718
10/3/2000,0.317,0.585,1.145,1.837,2.717
10/4/2000,0.295,0.585,1.145,1.825,2.719
10/5/2000,0.495,0.575,1.13,1.808,2.712
10/6/2000,0.47,0.575,1.135,1.814,2.756
10/10/2000,0.45,0.57,1.135,1.834,2.814
10/11/2000,0.45,0.56,1.125,1.82,2.823
10/12/2000,0.445,0.555,1.135,1.849,2.867
10/13/2000,0.445,0.53,1.11,1.843,2.939
10/16/2000,0.435,0.52,1.105,1.86,3.035
10/17/2000,0.435,0.52,1.105,1.835,2.971
10/18/2000,0.425,0.52,1.09,1.799,2.901
10/19/2000,0.38,0.51,1.08,1.82,2.935
10/20/2000,0.38,0.515,1.085,1.839,2.969
10/23/2000,0.37,0.525,1.105,1.854,3.004
10/24/2000,0.37,0.53,1.12,1.86,3.037
10/25/2000,0.365,0.525,1.115,1.84,3.014
10/26/2000,0.37,0.515,1.105,1.84,3.015
10/27/2000,0.37,0.51,1.1,1.844,3.019
10/30/2000,0.38,0.5,1.075,1.819,2.998
10/31/2000,0.375,0.5,1.07,1.813,3
11/1/2000,0.375,0.51,1.095,1.835,3.047
11/2/2000,0.37,0.495,1.07,1.82,3.052
11/6/2000,0.375,0.49,1.06,1.816,3.081
11/7/2000,0.37,0.495,1.075,1.82,3.133
11/8/2000,0.37,0.51,1.095,1.817,3.099
11/9/2000,0.375,0.51,1.085,1.805,2.839
11/10/2000,0.375,0.515,1.085,1.809,2.839
11/13/2000,0.375,0.505,1.05,1.781,2.811
11/14/2000,0.375,0.515,1.06,1.787,2.815
11/15/2000,0.37,0.51,1.05,1.785,2.778
11/16/2000,0.36,0.505,1.04,1.78,2.718
11/17/2000,0.366,0.5,1.04,1.775,2.694
11/20/2000,0.367,0.485,1.02,1.745,2.655
11/21/2000,0.375,0.485,1.015,1.709,2.604
11/22/2000,0.395,0.49,1.025,1.717,2.576
11/24/2000,0.395,0.485,1.005,1.68,2.488
11/27/2000,0.397,0.495,1.015,1.69,2.504
11/28/2000,0.395,0.5,1.015,1.71,2.523
11/29/2000,0.393,0.485,0.98,1.677,2.504
11/30/2000,0.4,0.48,0.94,1.622,2.463
12/1/2000,0.395,0.49,0.94,1.636,2.476
12/4/2000,0.385,0.545,0.985,1.646,2.5
12/5/2000,0.393,0.545,0.955,1.606,2.499
12/6/2000,0.393,0.555,0.97,1.63,2.569
12/7/2000,0.39,0.53,0.915,1.57,2.544
12/8/2000,0.39,0.555,0.945,1.596,2.558
12/11/2000,0.425,0.62,1.025,1.642,2.59
12/12/2000,0.435,0.61,1.02,1.647,2.588
12/13/2000,0.435,0.605,1.055,1.696,2.611
12/14/2000,0.445,0.57,1.02,1.661,2.578
12/15/2000,0.444,0.555,1.02,1.647,2.554
12/18/2000,0.44,0.555,1.05,1.689,2.6
12/19/2000,0.449,0.54,1.015,1.652,2.586
12/20/2000,0.475,0.52,0.96,1.583,2.555
12/21/2000,0.545,0.505,0.92,1.54,2.515
12/22/2000,0.57,0.485,0.925,1.577,2.539
12/25/2000,0.56,0.485,0.945,1.612,2.555
12/26/2000,0.6,0.48,0.935,1.612,2.543
12/27/2000,0.4,0.47,0.925,1.597,2.526
12/28/2000,0.4,0.47,0.96,1.652,2.584
12/29/2000,0.4,0.47,0.96,1.646,2.572
1/4/2001,0.411,0.445,0.925,1.632,2.557
1/5/2001,0.405,0.42,0.905,1.626,2.55
1/9/2001,0.455,0.405,0.865,1.557,2.514
1/10/2001,0.43,0.425,0.9,1.571,2.529
1/11/2001,0.38,0.41,0.86,1.561,2.479
1/12/2001,0.345,0.405,0.855,1.518,2.424
1/15/2001,0.35,0.41,0.865,1.537,2.423
1/16/2001,0.365,0.41,0.88,1.577,2.457
1/17/2001,0.37,0.41,0.89,1.592,2.468
1/18/2001,0.347,0.385,0.845,1.537,2.418
1/19/2001,0.36,0.375,0.83,1.522,2.404
1/22/2001,0.325,0.34,0.785,1.477,2.345
1/23/2001,0.333,0.34,0.795,1.486,2.34
1/24/2001,0.34,0.355,0.805,1.497,2.34
1/25/2001,0.34,0.335,0.76,1.45,2.291
1/26/2001,0.34,0.325,0.75,1.427,2.249
1/29/2001,0.34,0.325,0.765,1.446,2.237
1/30/2001,0.34,0.36,0.82,1.494,2.243
1/31/2001,0.33,0.36,0.805,1.498,2.212
2/1/2001,0.334,0.37,0.81,1.491,2.223
2/2/2001,0.33,0.4,0.855,1.531,2.28
2/5/2001,0.326,0.375,0.815,1.489,2.228
2/6/2001,0.322,0.38,0.82,1.504,2.24
2/7/2001,0.312,0.365,0.78,1.46,2.208
2/8/2001,0.29,0.345,0.77,1.465,2.213
2/9/2001,0.28,0.31,0.73,1.438,2.203
2/13/2001,0.24,0.3,0.715,1.394,2.148
2/14/2001,0.225,0.305,0.73,1.414,2.156
2/15/2001,0.225,0.295,0.72,1.405,2.146
2/16/2001,0.23,0.295,0.72,1.404,2.127
2/19/2001,0.215,0.27,0.68,1.369,2.092
2/20/2001,0.205,0.28,0.695,1.395,2.107
2/21/2001,0.217,0.28,0.685,1.369,2.067
2/22/2001,0.205,0.295,0.735,1.46,2.119
2/23/2001,0.195,0.26,0.7,1.44,2.104
2/26/2001,0.2,0.23,0.66,1.42,2.082
2/27/2001,0.21,0.235,0.655,1.38,2.052
2/28/2001,0.195,0.225,0.63,1.35,2.013
3/1/2001,0.124,0.186,0.544,1.214,1.817
3/2/2001,0.107,0.181,0.559,1.234,1.836
3/5/2001,0.101,0.18,0.554,1.239,1.842
3/6/2001,0.115,0.175,0.538,1.199,1.798
3/7/2001,0.125,0.175,0.53,1.138,1.732
3/8/2001,0.12,0.179,0.55,1.174,1.774
3/9/2001,0.115,0.189,0.573,1.224,1.831
3/12/2001,0.105,0.175,0.536,1.195,1.817
3/13/2001,0.1,0.157,0.542,1.185,1.828
3/14/2001,0.104,0.138,0.495,1.15,1.814
3/15/2001,0.08,0.105,0.465,1.145,1.81
3/16/2001,0.085,0.09,0.451,1.145,1.809
3/19/2001,0.068,0.09,0.455,1.144,1.805
3/21/2001,0.055,0.06,0.4,1.051,1.669
3/22/2001,0.045,0.079,0.429,1.068,1.687
3/23/2001,0.048,0.111,0.499,1.144,1.765
3/26/2001,0.05,0.106,0.494,1.15,1.79
3/27/2001,0.07,0.129,0.53,1.24,1.879
3/28/2001,0.075,0.155,0.599,1.334,2.021
3/29/2001,0.05,0.15,0.617,1.36,2.031
3/30/2001,0.055,0.136,0.543,1.278,1.97
4/2/2001,0.051,0.189,0.62,1.361,2.066
4/3/2001,0.045,0.175,0.61,1.33,2.027
4/4/2001,0.048,0.159,0.58,1.316,2.014
4/5/2001,0.045,0.147,0.565,1.306,2.018
4/6/2001,0.046,0.146,0.56,1.275,1.991
4/9/2001,0.045,0.15,0.564,1.289,1.998
4/10/2001,0.045,0.145,0.589,1.329,2.041
4/11/2001,0.045,0.139,0.569,1.325,2.052
4/12/2001,0.04,0.15,0.649,1.444,2.187
4/13/2001,0.035,0.141,0.649,1.439,2.209
4/16/2001,0.03,0.136,0.645,1.455,2.246
4/17/2001,0.034,0.144,0.649,1.454,2.284
4/18/2001,0.033,0.142,0.679,1.504,2.356
4/19/2001,0.028,0.123,0.655,1.488,2.432
4/20/2001,0.027,0.11,0.609,1.459,2.404
4/23/2001,0.026,0.113,0.559,1.394,2.334
4/24/2001,0.026,0.113,0.544,1.365,2.268
4/25/2001,0.025,0.113,0.55,1.325,2.277
4/26/2001,0.021,0.108,0.525,1.354,2.261
4/27/2001,0.021,0.104,0.519,1.339,2.253
5/1/2001,0.015,0.116,0.535,1.361,2.277
5/2/2001,0.02,0.115,0.544,1.388,2.326
5/7/2001,0.02,0.102,0.515,1.354,2.326
5/8/2001,0.02,0.101,0.499,1.314,2.304
5/9/2001,0.015,0.098,0.47,1.289,2.265
5/10/2001,0.01,0.071,0.459,1.293,2.261
5/11/2001,0.011,0.07,0.442,1.289,2.253
5/14/2001,0.01,0.06,0.425,1.272,2.242
5/15/2001,0.01,0.081,0.464,1.291,2.247
5/16/2001,0.01,0.075,0.465,1.254,2.214
5/17/2001,0.01,0.074,0.456,1.255,2.161
5/18/2001,0.007,0.051,0.41,1.254,2.171
5/21/2001,0.007,0.058,0.441,1.293,2.208
5/22/2001,0.007,0.071,0.455,1.286,2.215
5/23/2001,0.008,0.073,0.449,1.315,2.197
5/24/2001,0.005,0.067,0.439,1.288,2.164
5/25/2001,0.008,0.07,0.446,1.28,2.143
5/28/2001,0.008,0.07,0.429,1.266,2.111
5/29/2001,0.008,0.073,0.429,1.283,2.096
5/30/2001,0.008,0.066,0.42,1.284,2.111
5/31/2001,0.007,0.06,0.389,1.245,2.071
6/1/2001,0.007,0.059,0.395,1.249,2.085
6/4/2001,0.007,0.058,0.395,1.244,2.09
6/5/2001,0.006,0.057,0.385,1.224,2.081
6/6/2001,0.007,0.059,0.404,1.259,2.121
6/7/2001,0.007,0.064,0.399,1.245,2.104
6/8/2001,0.007,0.059,0.409,1.249,2.11
6/11/2001,0.005,0.059,0.399,1.225,2.071
6/12/2001,0.005,0.059,0.396,1.207,2.035
6/13/2001,0.01,0.054,0.365,1.185,2.007
6/14/2001,0.01,0.054,0.365,1.165,1.988
6/15/2001,0.01,0.045,0.373,1.195,2.024
6/18/2001,0.015,0.044,0.36,1.198,2.027
6/19/2001,0.015,0.048,0.36,1.19,2.028
6/20/2001,0.012,0.054,0.365,1.199,2.046
6/21/2001,0.015,0.054,0.369,1.182,2.027
6/22/2001,0.015,0.053,0.369,1.184,2.017
6/25/2001,0.015,0.046,0.352,1.154,1.976
6/26/2001,0.015,0.045,0.349,1.149,1.964
6/27/2001,0.015,0.052,0.343,1.144,1.955
6/28/2001,0.016,0.055,0.329,1.135,1.945
6/29/2001,0.015,0.059,0.365,1.194,2.176
7/2/2001,0.013,0.063,0.419,1.28,2.262
7/3/2001,0.012,0.057,0.414,1.288,2.278
7/4/2001,0.012,0.059,0.395,1.272,2.274
7/5/2001,0.014,0.062,0.381,1.249,2.278
7/6/2001,0.014,0.061,0.369,1.249,2.312
7/9/2001,0.015,0.075,0.435,1.349,2.441
7/10/2001,0.015,0.065,0.434,1.358,2.463
7/11/2001,0.017,0.066,0.409,1.299,2.396
7/12/2001,0.015,0.065,0.4,1.274,2.346
7/13/2001,0.016,0.074,0.408,1.31,2.387
7/16/2001,0.025,0.068,0.429,1.354,2.447
7/17/2001,0.019,0.078,0.444,1.372,2.487
7/18/2001,0.022,0.073,0.436,1.369,2.496
7/19/2001,0.022,0.067,0.448,1.385,2.521
7/23/2001,0.022,0.071,0.431,1.38,2.522
7/24/2001,0.03,0.079,0.458,1.414,2.549
7/25/2001,0.035,0.081,0.45,1.389,2.513
7/26/2001,0.03,0.075,0.419,1.339,2.442
7/27/2001,0.028,0.079,0.419,1.322,2.4
7/30/2001,0.026,0.089,0.419,1.329,2.417
7/31/2001,0.027,0.092,0.411,1.339,2.431
8/1/2001,0.027,0.094,0.411,1.339,2.438
8/2/2001,0.027,0.122,0.465,1.345,2.453
8/3/2001,0.028,0.143,0.5,1.375,2.485
8/6/2001,0.028,0.151,0.53,1.406,2.513
8/7/2001,0.029,0.167,0.56,1.441,2.543
8/8/2001,0.029,0.155,0.52,1.374,2.451
8/9/2001,0.033,0.126,0.478,1.356,2.423
8/10/2001,0.03,0.116,0.444,1.319,2.393
8/13/2001,0.029,0.103,0.43,1.31,2.389
8/14/2001,0.02,0.084,0.404,1.304,2.389
8/15/2001,0.017,0.069,0.39,1.299,2.415
8/16/2001,0.015,0.076,0.4,1.303,2.417
8/17/2001,0.013,0.081,0.426,1.334,2.438
8/20/2001,0.013,0.088,0.44,1.353,2.459
8/21/2001,0.014,0.092,0.454,1.361,2.457
8/22/2001,0.014,0.095,0.44,1.377,2.412
8/23/2001,0.013,0.088,0.46,1.407,2.437
8/24/2001,0.013,0.083,0.45,1.395,2.409
8/27/2001,0.013,0.082,0.479,1.42,2.422
8/28/2001,0.011,0.082,0.469,1.389,2.382
8/29/2001,0.01,0.084,0.471,1.389,2.372
8/30/2001,0.01,0.087,0.461,1.37,2.364
8/31/2001,0.008,0.087,0.465,1.379,2.374
9/3/2001,0.009,0.086,0.493,1.409,2.405
9/4/2001,0.008,0.081,0.474,1.394,2.389
9/5/2001,0.006,0.079,0.469,1.379,2.38
9/6/2001,0.002,0.066,0.474,1.408,2.414
9/7/2001,0.002,0.066,0.47,1.414,2.417
9/10/2001,0.003,0.061,0.468,1.419,2.418
9/11/2001,0.003,0.061,0.48,1.423,2.418
9/12/2001,0.007,0.056,0.464,1.435,2.438
9/13/2001,0.005,0.056,0.461,1.449,2.457
9/14/2001,0.004,0.056,0.423,1.419,2.429
9/17/2001,0.006,0.056,0.379,1.344,2.363
9/18/2001,0.007,0.055,0.391,1.36,2.372
9/19/2001,0.01,0.061,0.433,1.41,2.414
9/20/2001,0.007,0.075,0.46,1.429,2.433
9/21/2001,0.011,0.074,0.455,1.394,2.398
9/25/2001,0.009,0.077,0.453,1.389,2.383
9/26/2001,0.008,0.09,0.465,1.42,2.409
9/27/2001,0.007,0.088,0.451,1.404,2.39
9/28/2001,0.006,0.087,0.509,1.415,2.405
10/1/2001,0.007,0.119,0.486,1.4,2.395
10/2/2001,0.006,0.111,0.464,1.379,2.393
10/3/2001,0.006,0.11,0.474,1.384,2.422
10/4/2001,0.008,0.109,0.489,1.38,2.442
10/5/2001,0.007,0.114,0.489,1.388,2.459
10/9/2001,0.01,0.118,0.494,1.395,2.484
10/10/2001,0.008,0.118,0.5,1.395,2.508
10/11/2001,0.013,0.115,0.479,1.365,2.493
10/12/2001,0.012,0.115,0.489,1.384,2.532
10/15/2001,0.011,0.115,0.484,1.384,2.541
10/16/2001,0.014,0.116,0.464,1.354,2.518
10/17/2001,0.011,0.116,0.48,1.379,2.537
10/18/2001,0.011,0.114,0.464,1.364,2.538
10/19/2001,0.011,0.119,0.474,1.364,2.538
10/22/2001,0.011,0.123,0.479,1.36,2.533
10/23/2001,0.013,0.124,0.474,1.33,2.507
10/24/2001,0.011,0.124,0.464,1.324,2.502
10/25/2001,0.011,0.119,0.459,1.324,2.508
10/26/2001,0.015,0.119,0.459,1.33,2.518
10/29/2001,0.013,0.119,0.459,1.329,2.518
10/30/2001,0.012,0.119,0.469,1.334,2.523
10/31/2001,0.013,0.124,0.474,1.315,2.487
11/1/2001,0.011,0.124,0.469,1.315,2.462
11/2/2001,0.01,0.124,0.469,1.31,2.422
11/5/2001,0.01,0.124,0.464,1.3,2.402
11/6/2001,0.01,0.124,0.464,1.3,2.397
11/7/2001,0.01,0.119,0.445,1.275,2.387
11/8/2001,0.012,0.117,0.455,1.304,2.423
11/9/2001,0.013,0.115,0.475,1.324,2.443
11/12/2001,0.011,0.115,0.47,1.315,2.433
11/13/2001,0.011,0.115,0.474,1.324,2.439
11/14/2001,0.012,0.115,0.479,1.334,2.443
11/15/2001,0.017,0.114,0.493,1.349,2.444
11/16/2001,0.017,0.115,0.504,1.364,2.443
11/19/2001,0.016,0.115,0.494,1.349,2.423
11/20/2001,0.017,0.115,0.504,1.357,2.433
11/21/2001,0.022,0.115,0.5,1.336,2.424
11/22/2001,0.021,0.114,0.494,1.358,2.423
11/26/2001,0.019,0.121,0.515,1.379,2.454
11/27/2001,0.018,0.133,0.546,1.399,2.489
11/28/2001,0.02,0.134,0.523,1.364,2.454
11/29/2001,0.03,0.164,0.555,1.384,2.474
11/30/2001,0.027,0.151,0.527,1.364,2.448
12/3/2001,0.024,0.151,0.541,1.399,2.5
12/4/2001,0.03,0.14,0.534,1.388,2.534
12/5/2001,0.03,0.123,0.519,1.379,2.567
12/6/2001,0.028,0.085,0.534,1.399,2.598
12/7/2001,0.027,0.088,0.514,1.368,2.559
12/10/2001,0.032,0.083,0.495,1.355,2.554
12/11/2001,0.032,0.081,0.479,1.355,2.564
12/12/2001,0.028,0.108,0.474,1.345,2.563
12/13/2001,0.037,0.108,0.464,1.333,2.548
12/14/2001,0.04,0.115,0.484,1.34,2.554
12/17/2001,0.038,0.115,0.484,1.329,2.539
12/18/2001,0.037,0.115,0.484,1.329,2.529
12/19/2001,0.035,0.114,0.489,1.339,2.534
12/20/2001,0.031,0.109,0.479,1.324,2.519
12/21/2001,0.028,0.1,0.464,1.32,2.473
12/25/2001,0.025,0.096,0.464,1.324,2.478
12/26/2001,0.011,0.094,0.463,1.33,2.489
12/27/2001,0.005,0.095,0.479,1.35,2.509
12/28/2001,0.013,0.121,0.549,1.368,2.51
1/4/2002,0.013,0.148,0.594,1.403,2.538
1/7/2002,0.011,0.13,0.584,1.389,2.529
1/8/2002,0.013,0.131,0.594,1.399,2.542
1/9/2002,0.012,0.151,0.594,1.385,2.538
1/10/2002,0.009,0.152,0.59,1.395,2.543
1/11/2002,0.007,0.152,0.584,1.401,2.548
1/15/2002,0.009,0.154,0.594,1.417,2.559
1/16/2002,0.006,0.15,0.585,1.401,2.55
1/17/2002,0.003,0.158,0.614,1.425,2.57
1/18/2002,0.003,0.163,0.634,1.43,2.571
1/21/2002,0.004,0.165,0.66,1.445,2.579
1/22/2002,0.003,0.165,0.66,1.44,2.578
1/23/2002,0.002,0.153,0.65,1.441,2.584
1/24/2002,0.001,0.15,0.659,1.466,2.609
1/25/2002,0.002,0.129,0.683,1.473,2.618
1/28/2002,0.002,0.129,0.663,1.453,2.598
1/29/2002,0.001,0.155,0.674,1.478,2.633
1/30/2002,0.002,0.16,0.695,1.489,2.659
1/31/2002,0.001,0.14,0.7,1.485,2.674
2/1/2002,0.001,0.136,0.71,1.5,2.715
2/4/2002,0.001,0.153,0.671,1.505,2.728
